t_iso,t_elapsed_s,RAW_PK_A,FILT_PK_A,FILT_AVG_A,MAX_FLTCNT,DUTY,VDC,RPM,STATE,FAULT
2026-08-31T23:40:13.119,0.000,0.018,0.008,0.003,0,0,23.84,0,3,3
2026-08-31T23:40:13.519,0.400,0.018,0.008,0.003,0,0,23.84,0,3,3
2026-08-31T23:40:14.119,1.000,0.018,0.008,0.003,0,0,23.85,0,3,3
2026-08-31T23:40:14.520,1.401,0.018,0.009,0.003,0,0,23.85,0,3,3
2026-08-31T23:40:15.120,2.001,0.018,0.008,0.002,0,0,23.85,0,3,3
2026-08-31T23:40:15.520,2.401,0.018,0.008,0.003,0,0,23.85,0,3,3
2026-08-31T23:40:16.120,3.001,0.018,0.007,0.003,0,0,23.85,0,3,3
2026-08-31T23:40:16.519,3.400,0.018,0.008,0.003,0,0,23.85,0,3,3
2026-08-31T23:40:17.120,4.001,0.013,0.007,0.002,0,0,23.86,0,3,3
2026-08-31T23:40:17.519,4.400,0.018,0.008,0.003,0,0,23.85,0,3,3
2026-08-31T23:40:18.120,5.000,0.018,0.007,0.003,0,0,23.85,0,3,3
2026-08-31T23:40:18.519,5.400,0.024,0.008,0.003,0,0,23.85,0,1,0
2026-08-31T23:40:19.120,6.001,0.018,0.008,0.003,0,0,23.84,0,2,0
2026-08-31T23:40:19.519,6.400,0.899,0.516,0.064,0,12,23.84,173,2,0
2026-08-31T23:40:20.120,7.001,1.109,0.539,0.202,0,29,23.82,1229,2,0
2026-08-31T23:40:20.520,7.401,1.104,0.537,0.204,0,29,23.84,1335,2,0
2026-08-31T23:40:21.119,8.000,1.109,0.532,0.204,0,29,23.81,1347,2,0
2026-08-31T23:40:21.519,8.400,1.109,0.539,0.204,0,29,23.84,1342,2,0
2026-08-31T23:40:22.120,9.001,1.104,0.541,0.204,0,29,23.82,1347,2,0
2026-08-31T23:40:22.519,9.400,1.109,0.538,0.194,0,0,23.84,1324,3,3
2026-08-31T23:40:23.120,10.001,0.018,0.008,0.003,0,0,23.85,224,3,3
2026-08-31T23:40:23.519,10.400,0.018,0.009,0.003,0,0,23.85,95,3,3
2026-08-31T23:40:24.120,11.001,0.018,0.007,0.003,0,0,23.85,4,3,3
2026-08-31T23:40:24.520,11.401,0.018,0.008,0.003,0,0,23.86,0,3,3
2026-08-31T23:40:25.119,12.000,0.018,0.007,0.003,0,0,23.85,0,3,3
