Trial,Test Type,Injection Time,Fault Observed Time,PC-observed Fault Transition Delay [ms],Final State,Final Fault,Auto Run Detected,Result,Note
1,supervisor SIGKILL,2026-08-31T23:40:21.620,2026-08-31T23:40:22.519,899.5,FAULT,COMM,NO,PASS,
2,supervisor SIGKILL,2026-08-31T23:40:30.120,2026-08-31T23:40:31.520,1399.3,FAULT,COMM,NO,PASS,
3,supervisor SIGKILL,2026-08-31T23:40:39.121,2026-08-31T23:40:40.519,1398.1,FAULT,COMM,NO,PASS,
4,supervisor SIGKILL,2026-08-31T23:40:48.120,2026-08-31T23:40:49.520,1399.7,FAULT,COMM,NO,PASS,
5,supervisor SIGKILL,2026-08-31T23:40:57.119,2026-08-31T23:40:58.119,1000.3,FAULT,COMM,NO,PASS,
6,supervisor SIGKILL,2026-08-31T23:41:05.622,2026-08-31T23:41:07.120,1498.1,FAULT,COMM,NO,PASS,
7,supervisor SIGKILL,2026-08-31T23:41:14.621,2026-08-31T23:41:16.119,1498.3,FAULT,COMM,NO,PASS,
8,supervisor SIGKILL,2026-08-31T23:41:23.620,2026-08-31T23:41:25.119,1499.7,FAULT,COMM,NO,PASS,
9,supervisor SIGKILL,2026-08-31T23:41:33.619,2026-08-31T23:41:35.120,1500.2,FAULT,COMM,NO,PASS,
10,supervisor SIGKILL,2026-08-31T23:41:42.620,2026-08-31T23:41:44.120,1500.2,FAULT,COMM,NO,PASS,
11,supervisor SIGKILL,2026-08-31T23:41:51.620,2026-08-31T23:41:53.120,1499.3,FAULT,COMM,NO,PASS,
12,supervisor SIGKILL,2026-08-31T23:42:00.619,2026-08-31T23:42:02.119,1500.3,FAULT,COMM,NO,PASS,
13,supervisor SIGKILL,2026-08-31T23:42:09.620,2026-08-31T23:42:11.120,1500.1,FAULT,COMM,NO,PASS,
14,supervisor SIGKILL,2026-08-31T23:42:18.620,2026-08-31T23:42:20.120,1500.0,FAULT,COMM,NO,PASS,
15,supervisor SIGKILL,2026-08-31T23:42:27.622,2026-08-31T23:42:29.119,1497.5,FAULT,COMM,NO,PASS,
16,supervisor SIGKILL,2026-08-31T23:42:36.620,2026-08-31T23:42:38.119,1498.6,FAULT,COMM,NO,PASS,
17,supervisor SIGKILL,2026-08-31T23:42:45.620,2026-08-31T23:42:47.119,1499.2,FAULT,COMM,NO,PASS,
18,supervisor SIGKILL,2026-08-31T23:42:54.620,2026-08-31T23:42:56.119,1499.3,FAULT,COMM,NO,PASS,
